group,Консервы,,,,1
Паштет Alnatura,194,125,,78355e98-5309-11e4-aaab-000b6a4d90f4,
Томатная паста 25%,79,70,,78364da1-5309-11e4-aaab-000b6a4d90f4,
Икра кабачковая «Верес»,97,300,,7836be71-5309-11e4-aaab-000b6a4d90f4,
Икра баклажанная,148,300,,78373032-5309-11e4-aaab-000b6a4d90f4,
Маслины консервированные,172,170,,7837a1cf-5309-11e4-aaab-000b6a4d90f4,
Оливки зеленые маринованные,125,100,,78387905-5309-11e4-aaab-000b6a4d90f4,
,,,,783ab4d5-5309-11e4-aaab-000b6a4d90f4,
,,,,783b3e3f-5309-11e4-aaab-000b6a4d90f4,
,,,,783bb0ad-5309-11e4-aaab-000b6a4d90f4,
,,,,783c22b1-5309-11e4-aaab-000b6a4d90f4,
,,,,783c94d4-5309-11e4-aaab-000b6a4d90f4,
,,,,783d7b86-5309-11e4-aaab-000b6a4d90f4,
,,,,783dedb7-5309-11e4-aaab-000b6a4d90f4,
,,,,783e5f8e-5309-11e4-aaab-000b6a4d90f4,
,,,,783ed086-5309-11e4-aaab-000b6a4d90f4,
,,,,783fb9a4-5309-11e4-aaab-000b6a4d90f4,
,,,,78402c1a-5309-11e4-aaab-000b6a4d90f4,
,,,,78409d39-5309-11e4-aaab-000b6a4d90f4,
,,,,78410e02-5309-11e4-aaab-000b6a4d90f4,
,,,,7841e1bc-5309-11e4-aaab-000b6a4d90f4,
,,,,7842661e-5309-11e4-aaab-000b6a4d90f4,
,,,,7842e886-5309-11e4-aaab-000b6a4d90f4,
,,,,7843593e-5309-11e4-aaab-000b6a4d90f4,
,,,,78444b57-5309-11e4-aaab-000b6a4d90f4,
,,,,7844cd7c-5309-11e4-aaab-000b6a4d90f4,
,,,,78453ec8-5309-11e4-aaab-000b6a4d90f4,
,,,,7845afa1-5309-11e4-aaab-000b6a4d90f4,
,,,,784696ef-5309-11e4-aaab-000b6a4d90f4,
,,,,784709f7-5309-11e4-aaab-000b6a4d90f4,
,,,,78477b5e-5309-11e4-aaab-000b6a4d90f4,
,,,,7847ecc6-5309-11e4-aaab-000b6a4d90f4,
,,,,7848c2ea-5309-11e4-aaab-000b6a4d90f4,
,,,,78493523-5309-11e4-aaab-000b6a4d90f4,
,,,,7849babb-5309-11e4-aaab-000b6a4d90f4,
,,,,784a2c4f-5309-11e4-aaab-000b6a4d90f4,
,,,,784a9e7d-5309-11e4-aaab-000b6a4d90f4,
,,,,784b1081-5309-11e4-aaab-000b6a4d90f4,
,,,,784bf88b-5309-11e4-aaab-000b6a4d90f4,
,,,,784c69a1-5309-11e4-aaab-000b6a4d90f4,
,,,,784cdbd8-5309-11e4-aaab-000b6a4d90f4,
,,,,784d4dc0-5309-11e4-aaab-000b6a4d90f4,
,,,,784e3cf5-5309-11e4-aaab-000b6a4d90f4,
,,,,784eaeeb-5309-11e4-aaab-000b6a4d90f4,
,,,,784f2124-5309-11e4-aaab-000b6a4d90f4,
,,,,784f92bb-5309-11e4-aaab-000b6a4d90f4,
,,,,78506832-5309-11e4-aaab-000b6a4d90f4,
,,,,7850ef86-5309-11e4-aaab-000b6a4d90f4,
,,,,7851988a-5309-11e4-aaab-000b6a4d90f4,
,,,,78521c76-5309-11e4-aaab-000b6a4d90f4,
,,,,7852d018-5309-11e4-aaab-000b6a4d90f4,
,,,,785355c7-5309-11e4-aaab-000b6a4d90f4,
,,,,7853c7d6-5309-11e4-aaab-000b6a4d90f4,
,,,,78543997-5309-11e4-aaab-000b6a4d90f4,
,,,,78550751-5309-11e4-aaab-000b6a4d90f4,
,,,,7855795d-5309-11e4-aaab-000b6a4d90f4,
,,,,78560007-5309-11e4-aaab-000b6a4d90f4,
,,,,785681f1-5309-11e4-aaab-000b6a4d90f4,
,,,,7856f3cc-5309-11e4-aaab-000b6a4d90f4,
,,,,78576557-5309-11e4-aaab-000b6a4d90f4,
,,,,785832d4-5309-11e4-aaab-000b6a4d90f4,
,,,,7858a44c-5309-11e4-aaab-000b6a4d90f4,
,,,,785913dc-5309-11e4-aaab-000b6a4d90f4,
,,,,78598601-5309-11e4-aaab-000b6a4d90f4,
,,,,785a7b93-5309-11e4-aaab-000b6a4d90f4,
,,,,785aed65-5309-11e4-aaab-000b6a4d90f4,
,,,,785b5d93-5309-11e4-aaab-000b6a4d90f4,
,,,,785bcee2-5309-11e4-aaab-000b6a4d90f4,
,,,,785ca4ed-5309-11e4-aaab-000b6a4d90f4,
,,,,785d170d-5309-11e4-aaab-000b6a4d90f4,
,,,,785da727-5309-11e4-aaab-000b6a4d90f4,
,,,,785e1925-5309-11e4-aaab-000b6a4d90f4,
,,,,785e8cbc-5309-11e4-aaab-000b6a4d90f4,
,,,,785eff03-5309-11e4-aaab-000b6a4d90f4,
,,,,785fed7c-5309-11e4-aaab-000b6a4d90f4,
,,,,78605fd1-5309-11e4-aaab-000b6a4d90f4,
,,,,7860d208-5309-11e4-aaab-000b6a4d90f4,
,,,,7861436f-5309-11e4-aaab-000b6a4d90f4,
,,,,78622275-5309-11e4-aaab-000b6a4d90f4,
,,,,7862a9a8-5309-11e4-aaab-000b6a4d90f4,
,,,,78631ba6-5309-11e4-aaab-000b6a4d90f4,
,,,,78638ca1-5309-11e4-aaab-000b6a4d90f4,
,,,,78643be6-5309-11e4-aaab-000b6a4d90f4,
,,,,7864c9fe-5309-11e4-aaab-000b6a4d90f4,
,,,,78653b23-5309-11e4-aaab-000b6a4d90f4,
,,,,7865ad8b-5309-11e4-aaab-000b6a4d90f4,
,,,,78667dff-5309-11e4-aaab-000b6a4d90f4,
,,,,78670e89-5309-11e4-aaab-000b6a4d90f4,
,,,,786797f9-5309-11e4-aaab-000b6a4d90f4,
,,,,786809ec-5309-11e4-aaab-000b6a4d90f4,
,,,,7868d99a-5309-11e4-aaab-000b6a4d90f4,
,,,,78694d41-5309-11e4-aaab-000b6a4d90f4,
,,,,7869beee-5309-11e4-aaab-000b6a4d90f4,
,,,,786a6273-5309-11e4-aaab-000b6a4d90f4,
,,,,786addf8-5309-11e4-aaab-000b6a4d90f4,
,,,,786b4f60-5309-11e4-aaab-000b6a4d90f4,
,,,,786bc235-5309-11e4-aaab-000b6a4d90f4,
,,,,786cb1f8-5309-11e4-aaab-000b6a4d90f4,
,,,,786d2663-5309-11e4-aaab-000b6a4d90f4,
,,,,786d9673-5309-11e4-aaab-000b6a4d90f4,
,,,,786e06aa-5309-11e4-aaab-000b6a4d90f4,
,,,,786edda5-5309-11e4-aaab-000b6a4d90f4,
,,,,786f5fa0-5309-11e4-aaab-000b6a4d90f4,
,,,,786fd148-5309-11e4-aaab-000b6a4d90f4,
,,,,78704203-5309-11e4-aaab-000b6a4d90f4,
,,,,7870c269-5309-11e4-aaab-000b6a4d90f4,
,,,,78717476-5309-11e4-aaab-000b6a4d90f4,
,,,,7871fbb6-5309-11e4-aaab-000b6a4d90f4,
,,,,78726c41-5309-11e4-aaab-000b6a4d90f4,
,,,,7872dcab-5309-11e4-aaab-000b6a4d90f4,
,,,,7873b466-5309-11e4-aaab-000b6a4d90f4,
,,,,78743908-5309-11e4-aaab-000b6a4d90f4,
,,,,7874a983-5309-11e4-aaab-000b6a4d90f4,
,,,,78751918-5309-11e4-aaab-000b6a4d90f4,
,,,,7875ee78-5309-11e4-aaab-000b6a4d90f4,
,,,,787661ea-5309-11e4-aaab-000b6a4d90f4,
,,,,7876ed37-5309-11e4-aaab-000b6a4d90f4,
,,,,78775e88-5309-11e4-aaab-000b6a4d90f4,
,,,,7877cd3b-5309-11e4-aaab-000b6a4d90f4,
,,,,78783e87-5309-11e4-aaab-000b6a4d90f4,
,,,,787937f8-5309-11e4-aaab-000b6a4d90f4,
,,,,7879a936-5309-11e4-aaab-000b6a4d90f4,
,,,,787a3339-5309-11e4-aaab-000b6a4d90f4,
,,,,787aa357-5309-11e4-aaab-000b6a4d90f4,
,,,,787b86c0-5309-11e4-aaab-000b6a4d90f4,
,,,,787c0e5d-5309-11e4-aaab-000b6a4d90f4,
,,,,787c7ed1-5309-11e4-aaab-000b6a4d90f4,
,,,,787cf0c5-5309-11e4-aaab-000b6a4d90f4,
,,,,787d6141-5309-11e4-aaab-000b6a4d90f4,
,,,,787e45c2-5309-11e4-aaab-000b6a4d90f4,
,,,,787ec86a-5309-11e4-aaab-000b6a4d90f4,
,,,,787f3991-5309-11e4-aaab-000b6a4d90f4,
,,,,787fa93d-5309-11e4-aaab-000b6a4d90f4,
,,,,7880b0d8-5309-11e4-aaab-000b6a4d90f4,
,,,,788120fc-5309-11e4-aaab-000b6a4d90f4,
,,,,788191ab-5309-11e4-aaab-000b6a4d90f4,
,,,,788201aa-5309-11e4-aaab-000b6a4d90f4,
,,,,7882bba1-5309-11e4-aaab-000b6a4d90f4,
,,,,78832db3-5309-11e4-aaab-000b6a4d90f4,
,,,,7883b125-5309-11e4-aaab-000b6a4d90f4,
,,,,7884217d-5309-11e4-aaab-000b6a4d90f4,
,,,,788490d2-5309-11e4-aaab-000b6a4d90f4,
,,,,788500a5-5309-11e4-aaab-000b6a4d90f4,
,,,,7885e61b-5309-11e4-aaab-000b6a4d90f4,
,,,,788657fa-5309-11e4-aaab-000b6a4d90f4,
,,,,7886de96-5309-11e4-aaab-000b6a4d90f4,
,,,,78874e9b-5309-11e4-aaab-000b6a4d90f4,
,,,,78880783-5309-11e4-aaab-000b6a4d90f4,
,,,,78887a20-5309-11e4-aaab-000b6a4d90f4,
,,,,7888e9d4-5309-11e4-aaab-000b6a4d90f4,
,,,,78896bc4-5309-11e4-aaab-000b6a4d90f4,
,,,,7889dd05-5309-11e4-aaab-000b6a4d90f4,
