group,Сублиматы,,,,1
Сухой желток ,624,50,,0b058900-53e9-11e4-9f4b-000b6a4d90f4,
Яичный порошок ,544,50,,0b05fdca-53e9-11e4-9f4b-000b6a4d90f4,
Сухой белок ,337,50,,0b06726f-53e9-11e4-9f4b-000b6a4d90f4,
Творог сублимированный,400,50,,0b06e6ed-53e9-11e4-9f4b-000b6a4d90f4,
Сливки сухие,607,40,,0b075ac1-53e9-11e4-9f4b-000b6a4d90f4,
Молоко сухое,350,40,,0b07cf5b-53e9-11e4-9f4b-000b6a4d90f4,
Супы сухие,320,60,,0b0843aa-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b08b887-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b092dc6-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b09a2ca-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0a178c-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0a8c55-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0b00e7-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0b750c-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0be939-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0c5c79-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0cd0b4-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0d4524-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0dbc5a-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0e3098-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0ea3f4-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0f18aa-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b0f8cf3-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b100101-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b107707-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b10eac2-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b11600e-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b11d4b4-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b124972-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b12bd33-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b133264-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b13a714-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b141c2f-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b149120-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b150512-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b157a46-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b15eed8-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1662e9-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b16e9a6-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b175c7f-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b17d113-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b18452a-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b18cc3b-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1940f1-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b19b4ba-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1a2970-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1a9e26-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1b1272-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1b85e1-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1bfa30-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1c7245-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1ce9f0-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1d5e58-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1dd1d3-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1e465c-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1ebafc-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1f2fc5-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b1fa3b5-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b20178f-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b20a9e5-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b211eba-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b219373-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b220763-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b227ba6-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b22f0e0-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b236548-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b23da28-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b244d43-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b24c26c-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b253754-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b25abb4-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2620cc-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b269440-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b270904-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b277d40-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b27f217-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2866d6-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b28d987-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b29507a-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b29c453-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2a41e0-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2ab5e3-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2b2a06-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2ba242-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2c1c3b-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2c9142-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2d04bf-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2d79b0-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2ded94-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2e61ae-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2ef009-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2f64d6-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b2fdab1-53e9-11e4-9f4b-000b6a4d90f4,
,,,,0b304f21-53e9-11e4-9f4b-000b6a4d90f4,
